batter,swing_speed_rank,player_name,swing_length_rank,launch_angle_rank,exit_velo_rank,risp_woba_rank,pitch_hand_woba_rank,avgbypitch_wobarank,average_rank
444482,220.0,"Peralta, David",252.0,299.0,169.0,120.0,359.0,1251.8,381.54285714285714
453568,381.0,"Blackmon, Charlie",276.0,103.0,359.0,246.0,393.0,1180.7142857142858,419.81632653061223
456781,399.0,"Solano, Donovan",339.0,128.0,252.0,141.0,229.0,1614.0,443.14285714285717
457705,129.0,"McCutchen, Andrew",70.0,242.0,163.0,144.0,257.0,1118.2857142857142,303.3265306122449
457759,422.0,"Turner, Justin",431.0,17.0,296.0,123.0,73.0,968.3333333333334,332.9047619047619
467793,166.0,"Santana, Carlos",88.0,208.0,85.0,135.0,80.0,1190.625,278.94642857142856
500743,395.0,"Rojas, Miguel",355.0,348.0,348.0,104.0,438.0,1236.0,460.57142857142856
502054,98.0,"Pham, Tommy",364.0,319.0,35.0,163.0,197.0,1165.5714285714287,334.51020408163265
502110,130.0,"Martinez, J.D.",3.0,120.0,114.0,17.0,12.0,900.2857142857143,185.18367346938774
502671,109.0,"Goldschmidt, Paul",44.0,148.0,45.0,195.0,116.0,1137.875,256.4107142857143
514888,355.0,"Altuve, Jose",49.0,307.0,320.0,215.0,163.0,1388.125,399.5892857142857
516782,207.0,"Marte, Starling",265.0,388.0,268.0,59.0,45.0,628.1428571428571,265.734693877551
518595,183.0,"d'Arnaud, Travis",42.0,244.0,93.0,111.0,25.0,1180.3333333333333,268.3333333333333
518692,284.0,"Freeman, Freddie",392.0,205.0,146.0,24.0,217.0,669.4285714285714,276.7755102040816
518735,340.0,"Grandal, Yasmani",197.0,327.0,22.0,153.0,266.0,1113.4,345.4857142857143
518792,74.0,"Heyward, Jason",5.0,358.0,181.0,323.0,462.0,1404.8,401.11428571428576
518934,397.0,"LeMahieu, DJ",296.0,352.0,33.0,328.0,472.0,925.75,400.5357142857143
519203,346.0,"Rizzo, Anthony",395.0,219.0,220.0,310.0,717.0,1693.2857142857142,557.1836734693877
519317,1.0,"Stanton, Giancarlo",2.0,58.0,4.0,8.0,55.0,1012.5714285714286,162.93877551020407
521692,86.0,"Perez, Salvador",20.0,76.0,29.0,46.0,76.0,946.375,182.76785714285714
527038,417.0,"Flores, Wilmer",371.0,15.0,382.0,384.0,478.0,1680.6,532.5142857142857
542303,63.0,"Ozuna, Marcell",167.0,160.0,23.0,18.0,91.0,331.0,121.85714285714286
543257,386.0,"Grossman, Robbie",424.0,130.0,293.0,321.0,476.0,1555.8333333333333,512.2619047619047
543309,256.0,"Higashioka, Kyle",193.0,112.0,183.0,340.0,224.0,1446.8333333333333,393.547619047619
543510,280.0,"McCann, James",388.0,203.0,281.0,278.0,363.0,1136.75,418.5357142857143
543685,358.0,"Rendon, Anthony",398.0,34.0,204.0,331.0,563.0,1368.6666666666667,465.2380952380953
543760,374.0,"Semien, Marcus",65.0,134.0,207.0,54.0,81.0,1333.857142857143,321.26530612244903
543807,219.0,"Springer, George",141.0,366.0,299.0,87.0,226.0,1235.5,367.64285714285717
543877,369.0,"Vázquez, Christian",352.0,42.0,313.0,391.0,672.0,1771.0,558.5714285714286
545121,357.0,"Vargas, Ildemaro",321.0,399.0,230.0,275.0,328.0,1711.25,517.3214285714286
545341,76.0,"Grichuk, Randal",76.0,98.0,24.0,12.0,26.0,653.5,137.92857142857142
547180,59.0,"Harper, Bryce",203.0,193.0,101.0,38.0,52.0,744.5,198.64285714285714
553869,66.0,"Díaz, Elias",334.0,325.0,301.0,279.0,666.0,1762.1666666666667,533.3095238095239
553993,190.0,"Suárez, Eugenio",41.0,133.0,143.0,190.0,100.0,1066.2857142857142,266.18367346938777
570482,366.0,"Urshela, Gio",280.0,262.0,332.0,283.0,735.0,1488.5714285714287,535.2244897959183
571448,271.0,"Arenado, Nolan",7.0,118.0,218.0,214.0,332.0,1436.125,370.875
571657,402.0,"Farmer, Kyle",381.0,166.0,251.0,259.0,142.0,1152.1666666666667,393.30952380952385
571745,117.0,"Haniger, Mitch",288.0,297.0,41.0,277.0,630.0,1412.8333333333333,437.547619047619
571771,202.0,"Hernández, Enrique",178.0,77.0,159.0,288.0,303.0,1646.142857142857,407.59183673469386
571970,210.0,"Muncy, Max",263.0,16.0,64.0,148.0,130.0,549.3333333333334,197.1904761904762
572138,184.0,"Singleton, Jon",307.0,153.0,118.0,115.0,798.0,1373.8333333333333,435.547619047619
572191,163.0,"Taylor, Michael A.",318.0,227.0,322.0,306.0,642.0,1708.5,526.6428571428571
572233,47.0,"Walker, Christian",111.0,40.0,137.0,26.0,322.0,967.5714285714286,235.79591836734693
573262,246.0,"Yastrzemski, Mike",104.0,81.0,56.0,326.0,526.0,1214.4285714285713,364.7755102040816
575929,18.0,"Contreras, Willson",29.0,207.0,98.0,139.0,54.0,1026.3333333333333,224.47619047619045
578428,307.0,"Iglesias, Jose",380.0,351.0,329.0,271.0,191.0,1465.0,470.57142857142856
592192,361.0,"Canha, Mark",225.0,276.0,306.0,145.0,205.0,1517.2857142857142,433.61224489795916
592206,170.0,"Castellanos, Nick",102.0,249.0,225.0,68.0,77.0,960.8571428571429,264.55102040816325
592273,142.0,"Drury, Brandon",182.0,367.0,226.0,304.0,792.0,2006.6666666666667,574.2380952380953
592450,4.0,"Judge, Aaron",9.0,27.0,1.0,2.0,2.0,129.5,24.928571428571427
592518,29.0,"Machado, Manny",36.0,50.0,13.0,64.0,123.0,1165.625,211.51785714285714
592626,104.0,"Pederson, Joc",73.0,26.0,54.0,7.0,30.0,600.5714285714286,127.79591836734694
592663,87.0,"Realmuto, J.T.",62.0,290.0,112.0,74.0,78.0,1193.7142857142858,270.9591836734694
592669,23.0,"Renfroe, Hunter",61.0,147.0,115.0,213.0,453.0,1694.7142857142858,386.6734693877551
592696,296.0,"Rosario, Eddie",266.0,279.0,158.0,383.0,704.0,1891.625,568.2321428571429
592885,100.0,"Yelich, Christian",134.0,395.0,84.0,103.0,196.0,744.2,250.8857142857143
593160,436.0,"Merrifield, Whit",386.0,124.0,380.0,355.0,499.0,1551.4,533.0571428571428
593428,265.0,"Bogaerts, Xander",234.0,378.0,187.0,185.0,319.0,1295.5714285714287,409.0816326530612
593871,338.0,"Polanco, Jorge",273.0,33.0,135.0,282.0,728.0,1431.0,460.0
594807,105.0,"Duvall, Adam",71.0,39.0,239.0,313.0,33.0,1900.0,385.7142857142857
595281,339.0,"Kiermaier, Kevin",342.0,384.0,376.0,381.0,772.0,2141.714285714286,676.5306122448981
595777,236.0,"Profar, Jurickson",228.0,210.0,55.0,57.0,67.0,574.1111111111111,203.87301587301587
595879,37.0,"Báez, Javier",1.0,321.0,257.0,105.0,744.0,1917.0,483.14285714285717
595909,324.0,"Cave, Jake",347.0,372.0,341.0,341.0,473.0,1590.3333333333333,541.1904761904761
596019,141.0,"Lindor, Francisco",105.0,106.0,14.0,20.0,41.0,703.1111111111111,161.44444444444443
596103,217.0,"Slater, Austin",399.0,232.0,130.0,126.0,505.0,1431.75,434.39285714285717
596117,425.0,"Stubbs, Garrett",363.0,111.0,400.0,376.0,751.0,1991.0,631.0
596142,110.0,"Sánchez, Gary",138.0,284.0,151.0,82.0,240.0,1475.2,354.3142857142857
596146,242.0,"Kepler, Max",147.0,165.0,196.0,302.0,468.0,1581.142857142857,443.02040816326524
600869,367.0,"Candelario, Jeimer",46.0,370.0,233.0,308.0,422.0,1756.0,500.2857142857143
602104,243.0,"Urías, Ramón",127.0,197.0,109.0,287.0,232.0,1131.0,332.2857142857143
605113,401.0,"Ahmed, Nick",227.0,278.0,390.0,347.0,387.0,1573.3333333333333,514.7619047619047
605137,266.0,"Bell, Josh",24.0,260.0,210.0,58.0,520.0,1276.25,373.4642857142857
605141,351.0,"Betts, Mookie",360.0,13.0,87.0,95.0,58.0,1091.0,293.57142857142856
605170,156.0,"Caratini, Victor",353.0,357.0,83.0,330.0,212.0,1099.0,370.0
606115,261.0,"Arcia, Orlando",25.0,359.0,200.0,382.0,692.0,1843.5714285714287,537.5102040816327
606192,96.0,"Hernández, Teoscar",52.0,143.0,149.0,49.0,27.0,772.0,184.0
606466,70.0,"Marte, Ketel",82.0,295.0,7.0,11.0,7.0,812.0,183.42857142857142
607043,95.0,"Nimmo, Brandon",214.0,158.0,67.0,21.0,269.0,1191.0,287.85714285714283
607208,177.0,"Turner, Trea",84.0,301.0,152.0,311.0,137.0,1291.2857142857142,350.46938775510205
607680,344.0,"Pillar, Kevin",92.0,100.0,360.0,156.0,362.0,1662.8,439.54285714285714
607732,378.0,"Stallings, Jacob",270.0,240.0,229.0,69.0,279.0,1348.3333333333333,401.90476190476187
608070,189.0,"Ramírez, José",215.0,45.0,34.0,194.0,40.0,1025.875,248.98214285714286
608324,195.0,"Bregman, Alex",325.0,41.0,90.0,305.0,176.0,1245.5714285714287,339.65306122448976
608336,143.0,"Gallo, Joey",226.0,1.0,132.0,365.0,767.0,1479.8,444.8285714285715
608348,292.0,"Kelly, Carson",367.0,222.0,180.0,16.0,525.0,1515.1666666666667,445.30952380952385
608369,140.0,"Seager, Corey",416.0,145.0,43.0,5.0,192.0,379.0,188.57142857142858
608385,323.0,"Winker, Jesse",229.0,140.0,228.0,101.0,280.0,887.5,312.64285714285717
608671,408.0,"Jankowski, Travis",427.0,373.0,394.0,237.0,753.0,2344.75,705.25
608701,126.0,"Refsnyder, Rob",85.0,328.0,188.0,106.0,117.0,1073.1666666666667,289.0238095238095
608841,257.0,"Meneses, Joey",311.0,334.0,95.0,164.0,710.0,1951.8333333333333,546.1190476190476
609280,193.0,"Andujar, Miguel",64.0,377.0,275.0,244.0,114.0,1564.8333333333333,404.547619047619
621020,186.0,"Swanson, Dansby",137.0,341.0,142.0,173.0,71.0,1406.857142857143,350.97959183673476
621028,398.0,"Newman, Kevin",415.0,303.0,352.0,352.0,740.0,1765.5,617.9285714285714
621035,342.0,"Taylor, Chris",323.0,141.0,324.0,72.0,554.0,1368.25,446.32142857142856
621043,32.0,"Correa, Carlos",198.0,313.0,11.0,220.0,69.0,915.0,251.14285714285714
621438,249.0,"Taylor, Tyrone",75.0,83.0,236.0,178.0,304.0,1514.2857142857142,377.0408163265306
621439,42.0,"Buxton, Byron",13.0,180.0,25.0,191.0,59.0,788.3333333333334,185.4761904761905
621466,196.0,"Stewart, DJ",278.0,25.0,201.0,9.0,179.0,722.6666666666666,230.09523809523807
621493,306.0,"Ward, Taylor",313.0,104.0,75.0,96.0,39.0,1008.2857142857143,277.3265306122449
621566,64.0,"Olson, Matt",172.0,28.0,113.0,61.0,364.0,1151.857142857143,279.12244897959187
622534,185.0,"Margot, Manuel",247.0,121.0,317.0,249.0,201.0,1436.8333333333333,393.8333333333333
622761,205.0,"Mateo, Jorge",63.0,55.0,378.0,180.0,641.0,1650.2,453.1714285714285
623912,191.0,"Ramírez, Harold",239.0,397.0,246.0,290.0,738.0,1874.25,567.8928571428571
623993,88.0,"Santander, Anthony",248.0,3.0,125.0,130.0,330.0,833.625,251.08928571428572
624413,27.0,"Alonso, Pete",184.0,138.0,110.0,124.0,154.0,962.75,242.82142857142858
624415,420.0,"Biggio, Cavan",373.0,12.0,397.0,369.0,737.0,1385.6666666666667,527.6666666666667
624424,56.0,"Conforto, Michael",171.0,179.0,91.0,143.0,49.0,1052.5714285714287,248.79591836734696
624428,412.0,"Frazier, Adam",369.0,151.0,395.0,181.0,540.0,1210.0,465.42857142857144
624431,330.0,"Trevino, Jose",329.0,326.0,211.0,227.0,611.0,1075.0,444.14285714285717
624503,368.0,"Gordon, Nick",244.0,343.0,375.0,199.0,639.0,1747.5,559.3571428571429
624585,20.0,"Soler, Jorge",22.0,186.0,78.0,67.0,102.0,1092.0,223.85714285714286
624641,108.0,"Sosa, Edmundo",6.0,280.0,316.0,327.0,189.0,1596.3333333333333,403.19047619047615
628451,291.0,"Ibáñez, Andy",189.0,38.0,247.0,134.0,527.0,1642.75,438.39285714285717
630105,347.0,"Cronenworth, Jake",336.0,119.0,244.0,165.0,730.0,1009.375,421.48214285714283
641313,312.0,"Anderson, Tim",245.0,398.0,353.0,380.0,791.0,2197.5,668.0714285714286
641343,78.0,"Bauers, Jake",124.0,23.0,234.0,253.0,415.0,1378.5714285714287,357.93877551020404
641355,333.0,"Bellinger, Cody",72.0,185.0,206.0,108.0,482.0,1444.5,404.35714285714283
641432,276.0,"Calhoun, Willie",414.0,65.0,178.0,193.0,398.0,1406.8,418.6857142857143
641487,180.0,"Crawford, J.P.",259.0,223.0,295.0,201.0,173.0,1466.0,399.57142857142856
641584,158.0,"Fraley, Jake",287.0,277.0,372.0,360.0,568.0,1589.142857142857,515.8775510204081
641598,226.0,"Garver, Mitch",174.0,87.0,88.0,256.0,124.0,1442.3333333333333,342.4761904761904
641645,428.0,"Guillorme, Luis",143.0,268.0,315.0,374.0,588.0,1728.75,549.25
641658,392.0,"Hampson, Garrett",391.0,99.0,365.0,316.0,742.0,1953.5,608.3571428571429
641680,278.0,"Heim, Jonah",159.0,129.0,197.0,228.0,345.0,1630.857142857143,423.8367346938776
641857,147.0,"McMahon, Ryan",262.0,173.0,148.0,222.0,479.0,1159.25,370.0357142857143
641933,22.0,"O'Neill, Tyler",77.0,64.0,40.0,158.0,9.0,950.5714285714286,188.6530612244898
642086,341.0,"Smith, Dominic",328.0,264.0,174.0,198.0,380.0,1338.8,431.9714285714286
642133,51.0,"Tellez, Rowdy",19.0,36.0,131.0,196.0,423.0,1456.0,330.2857142857143
642136,169.0,"Thaiss, Matt",54.0,217.0,318.0,109.0,429.0,1099.0,342.14285714285717
642350,223.0,"Siri, Jose",39.0,183.0,328.0,356.0,291.0,1577.857142857143,428.26530612244903
642708,192.0,"Rosario, Amed",173.0,364.0,342.0,348.0,521.0,1796.0,533.7142857142857
642715,68.0,"Adames, Willy",10.0,32.0,155.0,19.0,383.0,881.1428571428571,221.16326530612244
642731,263.0,"Estrada, Thairo",257.0,380.0,260.0,366.0,678.0,1752.8333333333333,565.2619047619047
643217,388.0,"Benintendi, Andrew",408.0,60.0,253.0,264.0,390.0,1335.125,442.5892857142857
643289,337.0,"Dubón, Mauricio",86.0,67.0,366.0,312.0,729.0,1682.7142857142858,511.38775510204084
643376,370.0,"Jansen, Danny",358.0,14.0,208.0,207.0,409.0,1473.4,434.2
643396,406.0,"Kiner-Falefa, Isiah",396.0,329.0,289.0,286.0,569.0,1634.0,558.4285714285714
643446,365.0,"McNeil, Jeff",264.0,168.0,302.0,292.0,677.0,1651.3333333333333,531.3333333333333
643565,327.0,"Tauchman, Mike",338.0,66.0,298.0,15.0,289.0,970.2,329.0285714285714
645277,332.0,"Albies, Ozzie",222.0,101.0,167.0,83.0,268.0,1484.7142857142858,379.6734693877551
645302,423.0,"Robles, Victor",418.0,355.0,389.0,65.0,182.0,1370.5,457.5
646240,137.0,"Devers, Rafael",144.0,114.0,18.0,219.0,454.0,631.125,245.30357142857142
647304,118.0,"Naylor, Josh",68.0,340.0,76.0,211.0,498.0,1417.25,389.75
647351,315.0,"Toro, Abraham",110.0,272.0,286.0,98.0,350.0,1568.2857142857142,428.46938775510205
650333,435.0,"Arraez, Luis",436.0,161.0,222.0,110.0,508.0,1179.875,435.98214285714283
650391,73.0,"Jiménez, Eloy",224.0,396.0,26.0,301.0,628.0,1463.5,444.5
650402,285.0,"Torres, Gleyber",221.0,53.0,177.0,209.0,309.0,1507.142857142857,394.4489795918367
650489,260.0,"Castro, Willi",314.0,195.0,346.0,121.0,603.0,1134.75,424.82142857142856
650490,67.0,"Díaz, Yandy",108.0,258.0,51.0,81.0,21.0,1009.4285714285714,227.9183673469388
650559,178.0,"De La Cruz, Bryan",57.0,211.0,97.0,309.0,214.0,1375.4285714285713,348.7755102040816
650859,316.0,"Rengifo, Luis",286.0,387.0,263.0,151.0,543.0,1662.2,515.4571428571428
656305,16.0,"Chapman, Matt",140.0,43.0,46.0,226.0,109.0,1318.5714285714287,271.2244897959184
656413,362.0,"Fairchild, Stuart",240.0,164.0,387.0,27.0,315.0,1554.25,435.60714285714283
656537,279.0,"Hill, Derek",230.0,379.0,347.0,170.0,149.0,1309.3333333333333,409.047619047619
656555,258.0,"Hoskins, Rhys",12.0,70.0,157.0,239.0,442.0,1279.4285714285713,351.06122448979596
656582,194.0,"Joe, Connor",179.0,132.0,364.0,281.0,640.0,1594.0,483.42857142857144
656716,393.0,"McKinstry, Zach",403.0,90.0,191.0,133.0,450.0,1502.6666666666667,451.80952380952385
656775,317.0,"Mullins, Cedric",165.0,5.0,326.0,344.0,690.0,1556.125,486.1607142857143
656811,114.0,"O'Hearn, Ryan",272.0,308.0,49.0,154.0,93.0,713.0,243.28571428571428
656896,303.0,"Rivera, Emmanuel",376.0,286.0,214.0,216.0,355.0,1104.5,407.7857142857143
656941,8.0,"Schwarber, Kyle",59.0,182.0,3.0,43.0,68.0,706.375,152.76785714285714
656976,107.0,"Smith, Pavin",156.0,289.0,30.0,13.0,18.0,677.3333333333334,184.33333333333334
657041,187.0,"Thomas, Lane",397.0,136.0,127.0,212.0,61.0,1207.142857142857,332.4489795918367
657077,372.0,"Verdugo, Alex",433.0,323.0,241.0,208.0,609.0,1641.25,546.75
657136,172.0,"Wong, Connor",194.0,152.0,333.0,177.0,361.0,1548.7142857142858,419.6734693877551
657557,127.0,"DeJong, Paul",354.0,57.0,235.0,378.0,714.0,1484.5714285714287,478.51020408163265
657656,146.0,"Laureano, Ramón",246.0,283.0,184.0,231.0,181.0,1317.0,369.7142857142857
657757,135.0,"Sheets, Gavin",93.0,187.0,237.0,118.0,621.0,1633.0,432.0
658668,203.0,"Olivares, Edward",206.0,257.0,290.0,182.0,419.0,1051.5,372.64285714285717
660271,13.0,"Ohtani, Shohei",38.0,167.0,6.0,3.0,24.0,232.75,69.10714285714286
660644,413.0,"Bruján, Vidal",377.0,288.0,388.0,388.0,592.0,2000.8333333333333,635.2619047619047
660670,14.0,"Acuña Jr., Ronald",91.0,144.0,74.0,243.0,152.0,718.5,205.21428571428572
660688,403.0,"Ruiz, Keibert",291.0,169.0,307.0,188.0,757.0,1686.5,543.0714285714286
660707,24.0,"Montero, Elehuris",95.0,123.0,172.0,114.0,334.0,1842.4,386.34285714285716
660766,254.0,"Yepez, Juan",202.0,231.0,357.0,179.0,519.0,1731.75,496.25
660821,39.0,"Sánchez, Jesús",304.0,330.0,52.0,93.0,736.0,920.125,353.44642857142856
661388,53.0,"Contreras, William",175.0,374.0,12.0,51.0,166.0,747.5714285714286,225.51020408163262
662139,82.0,"Varsho, Daulton",79.0,9.0,345.0,332.0,660.0,1871.6666666666667,482.6666666666667
663368,380.0,"Perkins, Blake",289.0,170.0,305.0,315.0,560.0,1634.0,521.8571428571429
663457,152.0,"Nootbaar, Lars",383.0,353.0,44.0,127.0,252.0,817.0,304.0
663527,377.0,"Nevin, Tyler",362.0,300.0,182.0,350.0,258.0,1510.75,477.10714285714283
663538,356.0,"Hoerner, Nico",295.0,253.0,323.0,192.0,175.0,1327.75,417.39285714285717
663586,34.0,"Riley, Austin",125.0,115.0,15.0,167.0,43.0,642.2857142857143,163.0408163265306
663616,112.0,"Larnach, Trevor",186.0,349.0,39.0,100.0,122.0,985.6666666666666,270.5238095238095
663624,25.0,"Mountcastle, Ryan",122.0,163.0,134.0,160.0,70.0,874.1428571428571,221.16326530612244
663647,157.0,"Hayes, Ke'Bryan",379.0,310.0,139.0,314.0,275.0,1808.8333333333333,483.2619047619047
663656,212.0,"Tucker, Kyle",129.0,71.0,72.0,76.0,150.0,608.6666666666666,188.38095238095235
663662,168.0,"Cameron, Daz",410.0,294.0,232.0,204.0,317.0,1407.25,433.17857142857144
663697,234.0,"India, Jonathan",249.0,221.0,265.0,14.0,96.0,846.7142857142857,275.10204081632656
663698,54.0,"Bart, Joey",146.0,362.0,245.0,37.0,38.0,1080.0,280.2857142857143
663728,44.0,"Raleigh, Cal",47.0,30.0,36.0,10.0,147.0,882.0,170.85714285714286
663743,335.0,"Fortes, Nick",365.0,196.0,381.0,325.0,758.0,2076.8333333333335,633.8333333333334
