"team","conf","sor","fpi","ap_cfp","sos","rem_sos","gc","avgwp","RK_NORM"
"Alabama Crimson Tide","SEC",1,"2","1","26","11","2","8",-1.71384598166658
"BYU Cougars","Big 12",2,"34","17","40","64","7","21",-1.68806518221178
"Georgia Bulldogs","SEC",3,"4","5","2","4","16","77",-1.66228438275699
"Tennessee Volunteers","SEC",4,"5","4","72","9","1","2",-1.63650358330219
"Texas Longhorns","SEC",5,"1","2","82","15","3","1",-1.61072278384739
"Oregon Ducks","Big Ten",6,"9","6","85","32","12","19",-1.5849419843926
"Iowa State Cyclones","Big 12",7,"22","16","92","54","42","40",-1.5591611849378
"Miami Hurricanes","ACC",8,"10","8","94","48","20","14",-1.53338038548301
"Penn State Nittany Lions","Big Ten",9,"8","7","98","21","22","20",-1.50759958602821
"UNLV Rebels","Mountain West",10,"35","25","103","75","18","18",-1.48181878657342
"Rutgers Scarlet Knights","Big Ten",11,"45","--","104","40","10","9",-1.45603798711862
"Michigan Wolverines","Big Ten",12,"26","10","15","18","17","26",-1.43025718766382
"Pittsburgh Panthers","ACC",13,"39","--","106","38","66","42",-1.40447638820903
"Indiana Hoosiers","Big Ten",14,"16","23","108","31","5","4",-1.37869558875423
"Illinois Fighting Illini","Big Ten",15,"43","24","20","45","39","57",-1.35291478929944
"Oklahoma Sooners","SEC",16,"17","19","24","2","36","47",-1.32713398984464
"Texas A&M Aggies","SEC",17,"18","25","28","22","15","27",-1.30135319038984
"Duke Blue Devils","ACC",18,"59","--","117","46","89","52",-1.27557239093505
"Missouri Tigers","SEC",19,"14","9","120","16","29","10",-1.24979159148025
"LSU Tigers","SEC",20,"15","13","29","14","28","35",-1.22401079202546
"Ohio State Buckeyes","Big Ten",21,"3","3","123","19","4","3",-1.19822999257066
"Notre Dame Fighting Irish","FBS Indep.",22,"7","14","35","66","19","30",-1.17244919311586
"Kansas State Wildcats","Big 12",23,"20","20","43","63","32","53",-1.14666839366107
"Colorado Buffaloes","Big 12",24,"28","--","42","61","65","89",-1.12088759420627
"Washington State Cougars","Pac-12",25,"55","--","56","112","43","51",-1.09510679475148
"USC Trojans","Big Ten",26,"11","11","53","33","45","70",-1.06932599529668
"James Madison Dukes","Sun Belt",27,"41","--","128","103","38","16",-1.04354519584189
"Boise State Broncos","Mountain West",28,"21","21","31","84","14","28",-1.01776439638709
"Boston College Eagles","ACC",29,"47","--","49","50","70","68",-0.991983596932294
"South Carolina Gamecocks","SEC",30,"25","--","64","7","9","17",-0.966202797477498
"Navy Midshipmen","American",31,"76","--","132","69","13","5",-0.940421998022702
"Arizona Wildcats","Big 12",32,"44","--","62","55","48","64",-0.914641198567906
"Kentucky Wildcats","SEC",33,"23","--","4","8","31","59",-0.888860399113111
"Clemson Tigers","ACC",34,"13","15","23","52","8","15",-0.863079599658315
"Utah Utes","Big 12",35,"36","18","71","60","35","32",-0.837298800203519
"Louisville Cardinals","ACC",36,"12","22","34","30","27","31",-0.811518000748723
"Army Black Knights","American",37,"71","--","133","72","11","6",-0.785737201293927
"Texas Tech Red Raiders","Big 12",38,"52","--","84","49","50","33",-0.759956401839131
"California Golden Bears","ACC",39,"50","--","79","58","40","48",-0.734175602384335
"SMU Mustangs","ACC",40,"19","--","95","53","44","29",-0.70839480292954
"UL Monroe Warhawks","Sun Belt",41,"107","--","16","79","83","84",-0.682614003474744
"Liberty Flames","CUSA",42,"90","--","134","130","122","63",-0.656833204019948
"Iowa Hawkeyes","Big Ten",43,"24","--","90","29","25","23",-0.631052404565152
"Michigan State Spartans","Big Ten",44,"65","--","14","36","47","74",-0.605271605110356
"UCF Knights","Big 12",45,"31","--","87","51","76","72",-0.57949080565556
"Sam Houston Bearkats","CUSA",46,"91","--","88","131","88","67",-0.553710006200764
"Nebraska Cornhuskers","Big Ten",47,"29","--","102","13","24","13",-0.527929206745969
"Arizona State Sun Devils","Big 12",48,"54","--","100","42","58","58",-0.502148407291173
"North Texas Mean Green","American",49,"87","--","101","95","75","54",-0.476367607836377
"Virginia Cavaliers","ACC",50,"66","--","105","24","54","49",-0.450586808381581
"TCU Horned Frogs","Big 12",51,"37","--","33","68","46","73",-0.424806008926785
"Ole Miss Rebels","SEC",52,"6","12","107","23","6","7",-0.399025209471989
"Memphis Tigers","American",53,"64","--","111","97","41","25",-0.373244410017194
"Arkansas Razorbacks","SEC",54,"27","--","38","10","26","36",-0.347463610562398
"Oregon State Beavers","Pac-12",55,"60","--","73","70","55","38",-0.321682811107602
"NC State Wolfpack","ACC",56,"80","--","12","76","92","96",-0.295902011652806
"Georgia Southern Eagles","Sun Belt",57,"82","--","18","91","85","94",-0.27012121219801
"Oklahoma State Cowboys","Big 12",58,"32","--","55","62","79","85",-0.244340412743214
"Western Kentucky Hilltoppers","CUSA",59,"89","--","7","128","52","71",-0.218559613288418
"Eastern Michigan Eagles","MAC",60,"101","--","97","127","78","44",-0.192778813833623
"Louisiana Ragin' Cajuns","Sun Belt",61,"77","--","119","102","68","37",-0.166998014378827
"Tulane Green Wave","American",62,"40","--","45","106","34","43",-0.141217214924031
"West Virginia Mountaineers","Big 12",63,"51","--","39","44","63","81",-0.115436415469235
"Florida Gators","SEC",64,"46","--","44","1","71","90",-0.0896556160144392
"Maryland Terrapins","Big Ten",65,"30","--","51","25","37","46",-0.0638748165596433
"Wisconsin Badgers","Big Ten",66,"62","--","9","37","33","75",-0.0380940171048475
"Stanford Cardinal","ACC",67,"72","--","32","34","60","91",-0.0123132176500516
"Toledo Rockets","MAC",68,"74","--","124","114","21","12",0.0134675818047442
"Georgia Tech Yellow Jackets","ACC",69,"49","--","37","20","69","76",0.0392483812595401
"Syracuse Orange","ACC",70,"69","--","125","41","57","24",0.065029180714336
"San José State Spartans","Mountain West",71,"73","--","116","77","73","50",0.0908099801691318
"Buffalo Bulls","MAC",72,"114","--","52","133","100","103",0.116590779623928
"Coastal Carolina Chanticleers","Sun Belt",73,"84","--","130","88","72","34",0.142371579078723
"North Carolina Tar Heels","ACC",74,"61","--","78","73","74","61",0.168152378533519
"Fresno State Bulldogs","Mountain West",75,"75","--","57","101","62","66",0.193933177988315
"Marshall Thundering Herd","Sun Belt",76,"79","--","10","90","64","93",0.219713977443111
"Cincinnati Bearcats","Big 12",77,"53","--","86","43","23","22",0.245494776897907
"Arkansas State Red Wolves","Sun Belt",78,"106","--","48","107","96","113",0.271275576352703
"Ohio Bobcats","MAC",79,"105","--","74","122","94","80",0.297056375807499
"Washington Huskies","Big Ten",80,"33","--","81","17","59","45",0.322837175262294
"App State Mountaineers","Sun Belt",81,"98","--","60","94","109","117",0.34861797471709
"Vanderbilt Commodores","SEC",82,"57","--","61","3","53","62",0.374398774171886
"Virginia Tech Hokies","ACC",83,"42","--","22","67","61","92",0.400179573626682
"UConn Huskies","FBS Indep.",84,"67","--","80","126","67","55",0.425960373081478
"UCLA Bruins","Big Ten",85,"78","--","17","27","104","132",0.451741172536274
"South Florida Bulls","American",86,"92","--","3","117","81","101",0.47752197199107
"Colorado State Rams","Mountain West",87,"118","--","8","99","77","87",0.503302771445865
"Northern Illinois Huskies","MAC",88,"85","--","36","115","56","65",0.529083570900661
"Northwestern Wildcats","Big Ten",89,"86","--","89","26","86","78",0.554864370355457
"Georgia State Panthers","Sun Belt",90,"108","--","109","81","108","99",0.580645169810253
"Charlotte 49ers","American",91,"123","--","46","93","128","131",0.606425969265049
"East Carolina Pirates","American",92,"95","--","126","110","90","39",0.632206768719845
"Central Michigan Chippewas","MAC",93,"115","--","113","108","125","105",0.657987568174641
"Baylor Bears","Big 12",94,"58","--","54","65","80","88",0.683768367629436
"Nevada Wolf Pack","Mountain West",95,"96","--","75","71","87","79",0.709549167084232
"Minnesota Golden Gophers","Big Ten",96,"56","--","67","47","82","69",0.735329966539028
"Texas State Bobcats","Sun Belt",97,"81","--","127","104","30","11",0.761110765993824
"Old Dominion Monarchs","Sun Belt",98,"94","--","70","96","105","118",0.78689156544862
"Auburn Tigers","SEC",99,"38","--","77","6","84","56",0.812672364903416
"Florida State Seminoles","ACC",100,"63","--","41","28","111","116",0.838453164358211
"South Alabama Jaguars","Sun Belt",101,"68","--","66","109","98","95",0.864233963813007
"Houston Cougars","Big 12",102,"93","--","27","57","102","120",0.890014763267803
"UTSA Roadrunners","American",103,"103","--","11","113","103","97",0.915795562722599
"Miami (OH) RedHawks","MAC",104,"97","--","30","111","110","122",0.941576362177395
"Florida Atlantic Owls","American",105,"104","--","99","123","117","104",0.967357161632191
"Purdue Boilermakers","Big Ten",106,"99","--","47","12","95","109",0.993137961086987
"Hawai'i Rainbow Warriors","Mountain West",107,"109","--","131","78","93","41",1.01891876054178
"Ball State Cardinals","MAC",108,"133","--","25","105","106","124",1.04469955999658
"Tulsa Golden Hurricane","American",109,"121","--","112","121","123","106",1.07048035945137
"Jacksonville State Gamecocks","CUSA",110,"102","--","65","124","114","115",1.09626115890617
"Bowling Green Falcons","MAC",111,"83","--","21","116","49","83",1.12204195836097
"Florida International Panthers","CUSA",112,"112","--","68","132","97","82",1.14782275781576
"Akron Zips","MAC",113,"128","--","5","120","115","127",1.17360355727056
"Western Michigan Broncos","MAC",114,"111","--","13","125","99","114",1.19938435672535
"Mississippi State Bulldogs","SEC",115,"70","--","6","5","120","125",1.22516515618015
"Kansas Jayhawks","Big 12",116,"48","--","59","56","51","60",1.25094595563495
"Wake Forest Demon Deacons","ACC",117,"88","--","58","39","91","86",1.27672675508974
"Southern Miss Golden Eagles","Sun Belt",118,"125","--","91","86","119","119",1.30250755454454
"Middle Tennessee Blue Raiders","CUSA",119,"126","--","19","134","126","129",1.32828835399933
"Utah State Aggies","Mountain West",120,"124","--","50","80","101","111",1.35406915345413
"Temple Owls","American",121,"130","--","63","89","131","133",1.37984995290892
"UAB Blazers","American",122,"110","--","96","87","116","110",1.40563075236372
"New Mexico Lobos","Mountain West",123,"117","--","69","118","107","107",1.43141155181852
"Wyoming Cowboys","Mountain West",124,"122","--","83","85","130","126",1.45719235127331
"Louisiana Tech Bulldogs","CUSA",125,"120","--","129","92","121","98",1.48297315072811
"Air Force Falcons","Mountain West",126,"119","--","115","98","118","108",1.5087539501829
"San Diego State Aztecs","Mountain West",127,"113","--","110","74","113","102",1.5345347496377
"Troy Trojans","Sun Belt",128,"100","--","76","100","112","100",1.5603155490925
"New Mexico State Aggies","CUSA",129,"131","--","122","83","132","121",1.58609634854729
"Massachusetts Minutemen","FBS Indep.",130,"129","--","121","35","133","123",1.61187714800209
"Rice Owls","American",131,"116","--","114","82","127","112",1.63765794745688
"Kennesaw State Owls","CUSA",132,"132","--","118","119","134","130",1.66343874691168
"Kent State Golden Flashes","MAC",132,"134","--","1","129","129","134",1.66343874691168
"UTEP Miners","CUSA",132,"127","--","93","59","124","128",1.66343874691168
