"posteam","avg_offensive_epa","completions","pass_attempts","completion_pct","total_pass_yards","yards_per_pass_attempt","total_rush_yards","rush_attempts","yards_per_rush_attempt","explosive_plays","total_offensive_plays","explosive_play_rate","turnovers","turnover_rate","third_down_converted","third_down_attempts","third_down_conversion_rate","red_zone_possessions","red_zone_scores","red_zone_efficiency","total_points_scored","total_games","points_per_game","total_time_possession","avg_time_possession"
"KC",0.111421336043786,2955,5265,0.561253561253561,34617,6.57492877492878,13123,2510,5.22828685258964,743,9805,0.0757776644569097,136,0.0138704742478327,663,728,0.910714285714286,0,615,Inf,137779,117,1177.59829059829,2201644,18817.4700854701
"GB",0.0516778550353147,2420,4311,0.561354674089538,27473,6.37276733936442,12270,2515,4.87872763419483,628,8679,0.0723585666551446,92,0.0106002995736836,555,741,0.748987854251012,0,495,Inf,102582,106,967.754716981132,1999028,18858.7547169811
"BAL",0.0417109910761479,2039,4005,0.509113607990012,22937,5.7270911360799,17779,3143,5.65669742284442,703,9007,0.0780504052403686,136,0.0150993671588764,593,779,0.761232349165597,0,527,Inf,108251,106,1021.2358490566,2076865,19593.0660377359
"SF",0.0355800322631596,2245,3962,0.56663301362948,28059,7.08202927814235,14695,3120,4.7099358974359,787,9026,0.0871925548415688,163,0.0180589408375803,559,756,0.739417989417989,0,545,Inf,109624,111,987.603603603604,1988448,17913.9459459459
"SEA",0.0303043467234241,2196,4053,0.541820873427091,25329,6.24944485566247,12907,2524,5.11370839936609,637,8497,0.0749676356361069,106,0.0124749911733553,480,782,0.61381074168798,0,493,Inf,97396,104,936.5,1674052,16096.6538461538
"DAL",0.028957007501735,2539,4468,0.568263205013429,28508,6.38048343777977,12844,2787,4.60853964836742,665,9066,0.0733509816898301,125,0.013787778513126,619,783,0.790549169859515,0,538,Inf,108321,105,1031.62857142857,1922667,18311.1142857143
"BUF",0.0275674216637051,2385,4568,0.522110332749562,27100,5.93257443082312,13642,2630,5.18707224334601,655,9107,0.0719226968266169,156,0.0171296804655759,606,774,0.782945736434108,0,523,Inf,107591,108,996.212962962963,1983450,18365.2777777778
"PHI",0.0172949267447222,2341,4429,0.528561752088508,26062,5.88439828403703,13829,2840,4.8693661971831,670,9113,0.0735213431361791,145,0.0159113354548447,623,811,0.768187422934649,0,475,Inf,100783,107,941.897196261682,2045162,19113.6635514019
"TB",0.0142275354951924,2778,4924,0.564175467099919,32132,6.52558895207149,9959,2409,4.13408053134081,645,9288,0.0694444444444444,164,0.0176571920757967,608,820,0.741463414634146,0,538,Inf,108042,108,1000.38888888889,1876229,17372.4907407407
"TEN",0.00640747165109405,1926,3608,0.533813747228381,22310,6.18348115299335,14011,2899,4.83304587788893,612,8406,0.0728051391862955,111,0.0132048536759458,511,783,0.652618135376756,0,437,Inf,88939,104,855.182692307692,1806492,17370.1153846154
"LA",0.00531674992704857,2488,4397,0.565840345690243,28958,6.58585399135774,12203,2764,4.41497829232996,692,9126,0.0758273065965374,140,0.0153407845715538,584,812,0.719211822660099,0,544,Inf,106553,109,977.550458715596,1945055,17844.5412844037
"NO",0.00132918814675732,2335,3907,0.597645252111595,25444,6.51241361658562,12252,2795,4.38354203935599,584,8606,0.0678596328143156,112,0.0130141761561701,548,778,0.704370179948586,0,508,Inf,98763,104,949.644230769231,1909376,18359.3846153846
"LAC",-0.00108735460367718,2564,4485,0.571683389074693,28393,6.33065774804905,10285,2403,4.28006658343737,569,8642,0.0658412404535987,130,0.0150428141633881,577,780,0.73974358974359,0,483,Inf,98004,102,960.823529411765,1902979,18656.6568627451
"CIN",-0.00503722912964192,2451,4468,0.548567591763653,26771,5.99171888988362,10301,2355,4.37409766454352,560,8743,0.0640512409927942,125,0.0142971520073201,527,818,0.644254278728606,0,471,Inf,93506,105,890.533333333333,1896485,18061.7619047619
"DET",-0.0109445049368395,2357,4165,0.565906362545018,26199,6.29027611044418,11559,2584,4.47329721362229,621,8545,0.072674078408426,126,0.0147454651843183,512,791,0.647281921618205,0,460,Inf,95311,102,934.421568627451,1810918,17754.0980392157
"IND",-0.0135125229713483,2252,4111,0.547798589151058,24154,5.87545609340793,12759,2695,4.73432282003711,614,8599,0.0714036515873939,134,0.0155832073496918,529,799,0.662077596996245,0,483,Inf,98994,102,970.529411764706,1845094,18089.1568627451
"ATL",-0.0164810846807258,2256,4046,0.557587740978744,25307,6.25481957488878,10794,2456,4.39495114006515,554,8243,0.067208540579886,134,0.0162562173965789,530,739,0.717185385656292,0,443,Inf,82995,99,838.333333333333,1777324,17952.7676767677
"MIN",-0.0187676116776951,2435,4165,0.584633853541417,26945,6.46938775510204,11268,2531,4.45199525879099,635,8513,0.0745918007752849,141,0.0165629037941971,507,789,0.642585551330799,0,481,Inf,94825,102,929.656862745098,1742533,17083.6568627451
"LV",-0.0194314937975808,2283,3968,0.575352822580645,25516,6.4304435483871,10756,2468,4.3581847649919,571,8206,0.0695832317816232,142,0.0173044114062881,497,747,0.665327978580991,0,444,Inf,84578,100,845.78,1848842,18488.42
"NE",-0.0232102473550497,2241,3959,0.566052033341753,24381,6.15837332659763,12368,2790,4.43297491039427,637,8543,0.0745639705021655,138,0.0161535760271567,513,819,0.626373626373626,0,464,Inf,90754,104,872.634615384615,1804323,17349.2596153846
"MIA",-0.0235917378155392,2236,4114,0.543509965969859,25181,6.12080700048614,10258,2307,4.44646727351539,520,8218,0.0632757361888537,144,0.0175225115599903,461,793,0.581336696090794,0,441,Inf,89415,101,885.29702970297,1697329,16805.2376237624
"CLE",-0.029554651743483,2075,4068,0.51007866273353,23979,5.89454277286136,13463,2753,4.89030148928442,689,8616,0.0799675023212628,151,0.0175255338904364,502,836,0.600478468899522,0,443,Inf,92752,102,909.333333333333,1831314,17954.0588235294
"HOU",-0.0315311400791057,2277,4267,0.533630185141786,26266,6.15561284274666,10485,2378,4.40916736753574,558,8501,0.0656393365486413,126,0.0148217856722738,514,833,0.617046818727491,0,444,Inf,82548,104,793.730769230769,1729243,16627.3365384615
"PIT",-0.0392267424871977,2412,4305,0.560278745644599,24561,5.70522648083624,10123,2427,4.17099299546766,527,8538,0.0617240571562427,133,0.0155774185992036,556,816,0.681372549019608,0,425,Inf,79942,102,783.745098039216,1801469,17661.4607843137
"DEN",-0.046517800225515,2032,3923,0.517970940606679,22433,5.71832781034922,11257,2455,4.58533604887984,568,8129,0.0698732931479887,136,0.016730225119941,445,839,0.530393325387366,0,411,Inf,70669,99,713.828282828283,1661175,16779.5454545455
"CHI",-0.0498981615239704,2038,3961,0.514516536228225,21401,5.40292855339561,12584,2578,4.88130333591932,530,8286,0.0639633116099445,144,0.0173787110789283,499,822,0.60705596107056,0,421,Inf,80222,101,794.277227722772,1801393,17835.5742574257
"JAX",-0.0501375217301261,2299,4348,0.528748850045998,24113,5.54576816927323,10728,2261,4.74480318443167,521,8322,0.0626051429944725,164,0.0197068012496996,515,820,0.628048780487805,0,390,Inf,71223,101,705.178217821782,1722915,17058.5643564356
"ARI",-0.0528368831440816,2244,4157,0.539812364686072,22965,5.52441664662016,11908,2448,4.86437908496732,550,8370,0.0657108721624851,129,0.0154121863799283,478,807,0.592317224287484,0,433,Inf,84191,100,841.91,1705749,17057.49
"CAR",-0.0573002963822909,2098,4036,0.51982160555005,22398,5.54955401387512,11480,2430,4.72427983539095,534,8180,0.065281173594132,149,0.0182151589242054,452,821,0.550548112058465,0,402,Inf,77269,99,780.49494949495,1744137,17617.5454545455
"NYG",-0.057953712668702,2153,4174,0.51581217057978,22492,5.38859607091519,11444,2325,4.92215053763441,507,8277,0.0612540775643349,138,0.0166727075027184,476,856,0.55607476635514,0,384,Inf,70965,101,702.623762376238,1695159,16783.7524752475
"WAS",-0.0639409696930727,2131,4080,0.522303921568627,22297,5.46495098039216,10850,2400,4.52083333333333,522,8238,0.0633648943918427,148,0.0179655256130129,467,827,0.564691656590085,0,399,Inf,68502,100,685.02,1755056,17550.56
"NYJ",-0.118903836903304,1984,3990,0.497243107769424,21334,5.3468671679198,9559,2254,4.24090505767524,473,8050,0.0587577639751553,156,0.0193788819875776,425,893,0.475923852183651,0,370,Inf,64628,99,652.808080808081,1545086,15606.9292929293
